age,gender,citizenship,event_location_region,date_of_event,date_of_death,type_of_injury,killed_by,year_of_death
27.0,M,Palestinian,Gaza Strip,2018-08-17,2018-08-17,gunfire,Israeli security forces,2018
30.0,M,Palestinian,Gaza Strip,2018-08-10,2018-08-11,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-08-10,2018-08-10,gunfire,Israeli security forces,2018
54.0,M,Palestinian,Gaza Strip,2018-08-10,2018-08-10,gunfire,Israeli security forces,2018
1.0,F,Palestinian,Gaza Strip,2018-08-09,2018-08-09,shelling,Israeli security forces,2018
22.0,F,Palestinian,Gaza Strip,2018-08-09,2018-08-09,shelling,Israeli security forces,2018
34.0,M,Palestinian,Gaza Strip,2018-08-09,2018-08-09,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-08-07,2018-08-07,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-08-07,2018-08-07,gunfire,Israeli security forces,2018
16.0,M,Palestinian,Gaza Strip,2018-08-03,2018-09-15,gunfire,Israeli security forces,2018
15.0,M,Palestinian,Gaza Strip,2018-08-03,2018-08-04,gunfire,Israeli security forces,2018
25.0,M,Palestinian,Gaza Strip,2018-08-03,2018-08-03,gunfire,Israeli security forces,2018
11.0,M,Palestinian,Gaza Strip,2018-07-27,2018-07-27,gunfire,Israeli security forces,2018
16.0,M,Palestinian,Gaza Strip,2018-07-27,2018-07-28,gunfire,Israeli security forces,2018
43.0,M,Palestinian,Gaza Strip,2018-07-27,2018-07-27,gunfire,Israeli security forces,2018
30.0,M,Israeli,West Bank,2018-07-26,2018-07-26,stabbing,Palestinian civilians,2018
17.0,M,Palestinian,West Bank,2018-07-26,2018-07-26,gunfire,Israeli civilians,2018
28.0,M,Palestinian,Gaza Strip,2018-07-25,2018-07-25,gunfire,Israeli security forces,2018
28.0,M,Palestinian,Gaza Strip,2018-07-25,2018-07-25,gunfire,Israeli security forces,2018
30.0,M,Palestinian,Gaza Strip,2018-07-25,2018-07-25,gunfire,Israeli security forces,2018
14.0,M,Palestinian,West Bank,2018-07-23,2018-07-23,gunfire,Israeli security forces,2018
31.0,M,Palestinian,Gaza Strip,2018-07-20,2018-07-20,gunfire,Israeli security forces,2018
26.0,M,Palestinian,Gaza Strip,2018-07-20,2018-07-20,gunfire,Israeli security forces,2018
26.0,M,Palestinian,Gaza Strip,2018-07-20,2018-07-20,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-07-20,2018-07-20,gunfire,Israeli security forces,2018
38.0,M,Palestinian,Gaza Strip,2018-07-19,2018-07-19,gunfire,Israeli security forces,2018
14.0,M,Palestinian,Gaza Strip,2018-07-14,2018-07-14,gunfire,Israeli security forces,2018
14.0,M,Palestinian,Gaza Strip,2018-07-14,2018-07-14,gunfire,Israeli security forces,2018
18.0,M,Palestinian,Gaza Strip,2018-07-13,2018-07-14,gunfire,Israeli security forces,2018
19.0,M,Palestinian,Gaza Strip,2018-07-13,2018-09-07,gunfire,Israeli security forces,2018
14.0,M,Palestinian,Gaza Strip,2018-07-13,2018-07-13,gunfire,Israeli security forces,2018
21.0,M,Palestinian,Gaza Strip,2018-07-06,2018-07-06,gunfire,Israeli security forces,2018
17.0,M,Palestinian,Israel,2018-07-02,2018-07-02,gunfire,Israeli security forces,2018
11.0,M,Palestinian,Gaza Strip,2018-06-29,2018-06-29,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-06-29,2018-06-29,gunfire,Israeli security forces,2018
17.0,M,Palestinian,Gaza Strip,2018-06-28,2018-06-28,gunfire,Israeli security forces,2018
27.0,M,Palestinian,Gaza Strip,2018-06-22,2018-06-24,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-06-18,2018-06-18,gunfire,Israeli security forces,2018
14.0,M,Palestinian,Gaza Strip,2018-06-08,2018-06-08,gunfire,Israeli security forces,2018
28.0,M,Palestinian,Gaza Strip,2018-06-08,2018-06-08,gunfire,Israeli security forces,2018
27.0,M,Palestinian,Gaza Strip,2018-06-08,2018-06-08,gunfire,Israeli security forces,2018
21.0,M,Palestinian,Gaza Strip,2018-06-08,2018-06-14,gunfire,Israeli security forces,2018
26.0,M,Palestinian,Gaza Strip,2018-06-08,2018-07-23,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-06-08,2018-06-08,gunfire,Israeli security forces,2018
20.0,M,Palestinian,West Bank,2018-06-06,2018-06-06,gunfire,Israeli security forces,2018
29.0,M,Palestinian,Gaza Strip,2018-06-04,2018-06-04,gunfire,Israeli security forces,2018
36.0,M,Palestinian,West Bank,2018-06-02,2018-06-02,gunfire,Israeli security forces,2018
20.0,F,Palestinian,Gaza Strip,2018-06-01,2018-06-01,gunfire,Israeli security forces,2018
14.0,M,Palestinian,Gaza Strip,2018-05-30,2018-06-18,gunfire,Israeli security forces,2018
30.0,M,Palestinian,Gaza Strip,2018-05-28,2018-05-28,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-05-27,2018-05-27,gunfire,Israeli security forces,2018
25.0,M,Palestinian,Gaza Strip,2018-05-27,2018-05-27,gunfire,Israeli security forces,2018
27.0,M,Palestinian,Gaza Strip,2018-05-27,2018-05-27,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-05-18,2018-05-30,gunfire,Israeli security forces,2018
15.0,M,Palestinian,West Bank,2018-05-15,2018-05-23,gunfire,Israeli security forces,2018
17.0,M,Palestinian,Gaza Strip,2018-05-15,2018-05-15,gunfire,Israeli security forces,2018
51.0,M,Palestinian,Gaza Strip,2018-05-15,2018-05-15,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-24,gunfire,Israeli security forces,2018
16.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
14.0,F,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
36.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
13.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
21.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
18.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-19,gunfire,Israeli security forces,2018
28.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-24,gunfire,Israeli security forces,2018
18.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
27.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
38.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
58.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-18,gunfire,Israeli security forces,2018
29.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
21.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
21.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
21.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
31.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
31.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
28.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
29.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
34.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
30.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
19.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
27.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
30.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
15.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
17.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
25.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-05-14,2018-06-20,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
30.0,M,Palestinian,Gaza Strip,2018-05-14,2018-08-12,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
18.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-25,gunfire,Israeli security forces,2018
41.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-26,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
34.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
27.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
38.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
28.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
27.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
26.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
32.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
30.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
29.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
19.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
15.0,M,Palestinian,Gaza Strip,2018-05-14,2018-07-04,gunfire,Israeli security forces,2018
26.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
28.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
33.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
27.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
15.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
25.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
16.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-14,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-05-14,2018-07-17,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-19,gunfire,Israeli security forces,2018
31.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-15,gunfire,Israeli security forces,2018
26.0,M,Palestinian,Gaza Strip,2018-05-14,2018-07-24,gunfire,Israeli security forces,2018
29.0,M,Palestinian,Gaza Strip,2018-05-14,2018-06-02,gunfire,Israeli security forces,2018
27.0,M,Palestinian,Gaza Strip,2018-05-14,2018-05-28,gunfire,Israeli security forces,2018
15.0,M,Palestinian,Gaza Strip,2018-05-11,2018-05-12,gunfire,Israeli security forces,2018
39.0,M,Palestinian,Gaza Strip,2018-05-11,2018-05-11,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-05-06,2018-05-06,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-05-06,2018-05-06,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-05-06,2018-05-06,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-04-29,2018-04-29,gunfire,Israeli security forces,2018
23.0,M,Palestinian,Gaza Strip,2018-04-29,2018-04-29,gunfire,Israeli security forces,2018
17.0,M,Palestinian,Gaza Strip,2018-04-29,2018-04-29,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-04-27,2018-04-27,gunfire,Israeli security forces,2018
18.0,M,Palestinian,Gaza Strip,2018-04-27,2018-05-03,gunfire,Israeli security forces,2018
32.0,M,Palestinian,Gaza Strip,2018-04-27,2018-04-27,gunfire,Israeli security forces,2018
15.0,M,Palestinian,Gaza Strip,2018-04-27,2018-04-28,gunfire,Israeli security forces,2018
19.0,M,Palestinian,Gaza Strip,2018-04-20,2018-04-22,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-04-20,2018-04-20,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-04-20,2018-04-20,gunfire,Israeli security forces,2018
14.0,M,Palestinian,Gaza Strip,2018-04-20,2018-04-20,gunfire,Israeli security forces,2018
31.0,M,Palestinian,Gaza Strip,2018-04-20,2018-04-20,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-04-13,2018-04-25,gunfire,Israeli security forces,2018
28.0,M,Palestinian,Gaza Strip,2018-04-13,2018-04-13,gunfire,Israeli security forces,2018
30.0,M,Palestinian,Gaza Strip,2018-04-12,2018-04-12,gunfire,Israeli security forces,2018
28.0,M,Palestinian,Gaza Strip,2018-04-12,2018-04-12,gunfire,Israeli security forces,2018
30.0,M,Palestinian,West Bank,2018-04-08,2018-04-09,gunfire,Israeli civilians,2018
20.0,M,Palestinian,Gaza Strip,2018-04-06,2018-04-06,gunfire,Israeli security forces,2018
37.0,M,Palestinian,Gaza Strip,2018-04-06,2018-04-06,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-04-06,2018-04-07,gunfire,Israeli security forces,2018
44.0,M,Palestinian,Gaza Strip,2018-04-06,2018-04-06,gunfire,Israeli security forces,2018
32.0,M,Palestinian,Gaza Strip,2018-04-06,2018-04-06,gunfire,Israeli security forces,2018
38.0,M,Palestinian,Gaza Strip,2018-04-06,2018-04-06,gunfire,Israeli security forces,2018
30.0,M,Palestinian,Gaza Strip,2018-04-06,2018-04-07,gunfire,Israeli security forces,2018
15.0,M,Palestinian,Gaza Strip,2018-04-06,2018-04-06,gunfire,Israeli security forces,2018
13.0,M,Palestinian,Gaza Strip,2018-04-06,2018-04-06,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-04-05,2018-04-05,gunfire,Israeli security forces,2018
25.0,M,Palestinian,Gaza Strip,2018-04-03,2018-04-03,gunfire,Israeli security forces,2018
45.0,M,Palestinian,West Bank,2018-04-02,2018-04-08,gunfire,Israeli security forces,2018
18.0,M,Palestinian,Gaza Strip,2018-04-01,2018-04-23,gunfire,Israeli security forces,2018
44.0,M,Palestinian,Gaza Strip,2018-03-30,2018-04-09,gunfire,Israeli security forces,2018
41.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
25.0,M,Palestinian,Gaza Strip,2018-03-30,2018-04-02,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
18.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
26.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
34.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
34.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
18.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
26.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
22.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
21.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
29.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
25.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
30.0,M,Palestinian,Gaza Strip,2018-03-30,2018-04-06,gunfire,Israeli security forces,2018
17.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
33.0,M,Palestinian,Gaza Strip,2018-03-30,2018-04-05,gunfire,Israeli security forces,2018
24.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
27.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
25.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
17.0,M,Palestinian,Gaza Strip,2018-03-30,2018-08-05,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2018-03-30,2018-03-30,gunfire,Israeli security forces,2018
28.0,M,Palestinian,West Bank,2018-03-18,2018-03-18,gunfire,Israeli security forces,2018
19.0,M,Palestinian,West Bank,2018-03-10,2018-03-10,gunfire,Israeli security forces,2018
24.0,M,Palestinian,West Bank,2018-03-09,2018-03-09,gunfire,Israeli security forces,2018
58.0,M,Palestinian,Gaza Strip,2018-03-03,2018-03-03,gunfire,Israeli security forces,2018
18.0,M,Palestinian,Gaza Strip,2018-02-25,2018-02-25,gunfire,Israeli security forces,2018
35.0,M,Palestinian,West Bank,2018-02-22,2018-02-22,gunfire,Israeli security forces,2018
16.0,M,Palestinian,Gaza Strip,2018-02-17,2018-02-17,gunfire,Israeli security forces,2018
14.0,M,Palestinian,Gaza Strip,2018-02-17,2018-02-17,gunfire,Israeli security forces,2018
18.0,M,Palestinian,Gaza Strip,2018-02-16,2018-02-21,gunfire,Israeli security forces,2018
19.0,M,Palestinian,West Bank,2018-02-07,2018-02-07,gunfire,Israeli civilians,2018
22.0,M,Palestinian,West Bank,2018-02-06,2018-02-06,gunfire,Israeli security forces,2018
26.0,M,Palestinian,West Bank,2018-02-06,2018-02-06,gunfire,Israeli security forces,2018
18.0,M,Palestinian,West Bank,2018-02-03,2018-02-03,gunfire,Israeli security forces,2018
16.0,M,Palestinian,West Bank,2018-01-30,2018-01-30,gunfire,Israeli security forces,2018
30.0,M,Palestinian,West Bank,2018-01-17,2018-01-17,gunfire,Israeli security forces,2018
28.0,M,Palestinian,West Bank,2018-01-15,2018-01-15,gunfire,Israeli security forces,2018
15.0,M,Palestinian,Gaza Strip,2018-01-11,2018-01-11,gunfire,Israeli security forces,2018
17.0,M,Palestinian,West Bank,2018-01-11,2018-01-11,gunfire,Israeli security forces,2018
35.0,M,Israeli,West Bank,2018-01-09,2018-01-09,gunfire,Palestinian civilians,2018
16.0,M,Palestinian,West Bank,2018-01-03,2018-01-03,gunfire,Israeli security forces,2018
20.0,M,Palestinian,Gaza Strip,2017-12-29,2017-12-30,gunfire,Israeli security forces,2017
29.0,M,Palestinian,Gaza Strip,2017-12-22,2017-12-22,gunfire,Israeli security forces,2017
20.0,M,Palestinian,Gaza Strip,2017-12-22,2017-12-22,gunfire,Israeli security forces,2017
28.0,M,Palestinian,Gaza Strip,2017-12-17,2017-12-23,gunfire,Israeli security forces,2017
19.0,M,Palestinian,West Bank,2017-12-15,2017-12-15,gunfire,Israeli security forces,2017
29.0,M,Palestinian,West Bank,2017-12-15,2017-12-15,gunfire,Israeli security forces,2017
23.0,M,Palestinian,Gaza Strip,2017-12-15,2017-12-15,gunfire,Israeli security forces,2017
29.0,M,Palestinian,Gaza Strip,2017-12-15,2017-12-15,gunfire,Israeli security forces,2017
19.0,M,Palestinian,Gaza Strip,2017-12-08,2017-12-24,gunfire,Israeli security forces,2017
25.0,M,Palestinian,Gaza Strip,2017-12-08,2017-12-08,shelling,Israeli security forces,2017
29.0,M,Palestinian,Gaza Strip,2017-12-08,2017-12-08,gunfire,Israeli security forces,2017
26.0,M,Palestinian,Gaza Strip,2017-12-08,2017-12-08,shelling,Israeli security forces,2017
46.0,M,Palestinian,West Bank,2017-11-30,2017-11-30,gunfire,Israeli civilians,2017
26.0,M,Palestinian,West Bank,2017-10-31,2017-10-31,gunfire,Israeli security forces,2017
27.0,M,Palestinian,Gaza Strip,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
21.0,M,Palestinian,Gaza Strip,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
30.0,M,Palestinian,Gaza Strip,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
31.0,M,Palestinian,Gaza Strip,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
30.0,M,Palestinian,Gaza Strip,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
48.0,M,Palestinian,Gaza Strip,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
25.0,M,Palestinian,Israel,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
25.0,M,Palestinian,Israel,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
22.0,M,Palestinian,Israel,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
35.0,M,Palestinian,Gaza Strip,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
21.0,M,Palestinian,Israel,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
23.0,M,Palestinian,Israel,2017-10-30,2017-10-30,explosion,Israeli security forces,2017
70.0,M,Israeli,Israel,2017-10-04,2017-10-04,stabbing,Palestinian civilians,2017
25.0,M,Israeli,West Bank,2017-09-26,2017-09-26,gunfire,Palestinian civilians,2017
25.0,M,Israeli,West Bank,2017-09-26,2017-09-26,gunfire,Palestinian civilians,2017
16.0,M,Palestinian,West Bank,2017-08-19,2017-08-19,gunfire,Israeli security forces,2017
21.0,M,Palestinian,West Bank,2017-08-09,2017-09-03,gunfire,Israeli security forces,2017
24.0,M,Palestinian,West Bank,2017-07-28,2017-07-28,gunfire,Israeli security forces,2017
16.0,M,Palestinian,Gaza Strip,2017-07-28,2017-07-28,gunfire,Israeli security forces,2017
28.0,M,Palestinian,West Bank,2017-07-24,2017-07-27,gunfire,Israeli security forces,2017
35.0,M,Israeli,West Bank,2017-07-21,2017-07-21,stabbing,Palestinian civilians,2017
71.0,M,Israeli,West Bank,2017-07-21,2017-07-21,stabbing,Palestinian civilians,2017
46.0,F,Israeli,West Bank,2017-07-21,2017-07-21,stabbing,Palestinian civilians,2017
17.0,M,Palestinian,West Bank,2017-07-21,2017-07-21,gunfire,Israeli security forces,2017
20.0,M,Palestinian,West Bank,2017-07-21,2017-07-21,gunfire,Israeli security forces,2017
26.0,M,Palestinian,West Bank,2017-07-20,2017-07-20,gunfire,Israeli security forces,2017
29.0,M,Palestinian,West Bank,2017-07-18,2017-07-18,gunfire,Israeli security forces,2017
33.0,M,Palestinian,West Bank,2017-07-16,2017-07-16,gunfire,Israeli security forces,2017
18.0,M,Palestinian,West Bank,2017-07-14,2017-07-14,gunfire,Israeli security forces,2017
16.0,M,Palestinian,West Bank,2017-07-12,2017-07-12,gunfire,Israeli security forces,2017
21.0,M,Palestinian,West Bank,2017-07-12,2017-07-12,gunfire,Israeli security forces,2017
23.0,M,Palestinian,West Bank,2017-07-10,2017-07-10,gunfire,Israeli security forces,2017
23.0,M,Palestinian,West Bank,2017-06-28,2017-06-28,gunfire,Israeli security forces,2017
23.0,M,Palestinian,West Bank,2017-06-20,2017-06-20,gunfire,Israeli security forces,2017
18.0,M,Palestinian,West Bank,2017-06-16,2017-06-16,gunfire,Israeli security forces,2017
18.0,M,Palestinian,West Bank,2017-06-16,2017-06-16,gunfire,Israeli security forces,2017
18.0,M,Palestinian,West Bank,2017-06-16,2017-06-16,gunfire,Israeli security forces,2017
19.0,M,Palestinian,Gaza Strip,2017-06-09,2017-06-09,gunfire,Israeli security forces,2017
34.0,M,Palestinian,Gaza Strip,2017-06-06,2017-06-06,gunfire,Israeli security forces,2017
14.0,F,Palestinian,West Bank,2017-06-01,2017-06-02,gunfire,Israeli security forces,2017
29.0,F,Israeli,Israel,2017-05-28,2017-05-28,Strangulation,Palestinian civilians,2017
44.0,M,Palestinian,Israel,2017-05-23,2017-05-25,gunfire,Israeli security forces,2017
15.0,M,Palestinian,West Bank,2017-05-22,2017-05-22,gunfire,Israeli security forces,2017
21.0,M,Palestinian,West Bank,2017-05-18,2017-05-18,gunfire,Israeli civilians,2017
25.0,M,Palestinian,Gaza Strip,2017-05-15,2017-05-15,gunfire,Israeli security forces,2017
22.0,M,Palestinian,West Bank,2017-05-12,2017-05-12,gunfire,Israeli security forces,2017
16.0,F,Palestinian,West Bank,2017-05-07,2017-05-07,gunfire,Israeli security forces,2017
20.0,M,Palestinian,West Bank,2017-04-19,2017-04-19,gunfire,Israeli security forces,2017
17.0,M,Palestinian,West Bank,2017-04-01,2017-04-01,gunfire,Israeli security forces,2017
49.0,F,Palestinian,West Bank,2017-03-29,2017-03-29,gunfire,Israeli security forces,2017
17.0,M,Palestinian,West Bank,2017-03-23,2017-03-23,gunfire,Israeli security forces,2017
16.0,M,Palestinian,West Bank,2017-03-23,2017-04-10,gunfire,Israeli security forces,2017
15.0,M,Palestinian,Gaza Strip,2017-03-22,2017-03-22,gunfire,Israeli security forces,2017
17.0,M,Palestinian,West Bank,2017-03-17,2017-03-17,gunfire,Israeli security forces,2017
24.0,M,Palestinian,West Bank,2017-03-13,2017-03-13,gunfire,Israeli security forces,2017
33.0,M,Palestinian,West Bank,2017-03-06,2017-03-06,gunfire,Israeli security forces,2017
24.0,M,Palestinian,West Bank,2017-03-01,2017-03-01,gunfire,Israeli civilians,2017
19.0,M,Palestinian,West Bank,2017-01-29,2017-01-29,gunfire,Israeli security forces,2017
18.0,M,Palestinian,West Bank,2017-01-25,2017-01-25,gunfire,Israeli security forces,2017
44.0,M,Palestinian,West Bank,2017-01-17,2017-01-17,gunfire,Israeli security forces,2017
17.0,M,Palestinian,West Bank,2017-01-16,2017-01-16,gunfire,Israeli security forces,2017
33.0,M,Palestinian,West Bank,2017-01-10,2017-01-10,gunfire,Israeli security forces,2017
19.0,M,Palestinian,West Bank,2016-12-22,2016-12-22,gunfire,Israeli security forces,2016
